,PMID
0,29161391
1,28271409
2,32947946
3,28725714
4,29562866
5,35743807
6,34440577
7,36142459
8,35108099
9,35196841
10,34685463
11,34571874
12,33790288
13,32344794
14,32719617
15,35265808
16,33080015
17,35941138
18,31231676
19,36143379
20,28725707
21,34803734
22,35125838
23,34858207
24,24603820
25,35654802
26,31137658
27,35806469
28,25654101
29,34744639
30,30854420
31,33809046
32,29492330
33,34924968
34,24614101
35,31967575
36,31815178
37,26869711
38,31134912
39,28749968
40,18808431
41,35508463
42,3314154
43,10904076
44,33364446
45,36336360
46,33446627
47,33464389
48,28092926
49,28970819
50,28725742
51,35406935
52,34691720
53,34568340
54,28861052
55,35499326
56,34125109
57,31134913
58,31397580
59,30742496
60,28725717
61,32903511
62,25387162
63,34689945
64,10904075
65,31134908
66,34575032
67,32683528
68,34685381
69,34970122
70,34572391
71,16479487
72,32391303
73,24500331
74,25142751
75,31909185
76,25370197
77,25775594
78,23791778
79,35714354
80,32971311
81,32846924
82,34199262
83,32528506
84,32818149
85,26857518
86,35523786
87,29619409
88,29367849
89,34769189
90,11016980
91,31740594
92,34394013
93,25649831
94,34493668
95,22180084
96,33815134
97,22959717
98,11717201
99,27019789
100,10926670
101,12382316
102,32585932
103,33057413
104,34604732
105,32348348
106,35927552
107,32709012
108,34733849
109,29570535
110,35991346
111,32964110
112,32625217
113,31229000
114,35473908
115,32864428
116,28242876
117,30100142
118,24463210
119,25309918
120,26054520
121,32499789
122,29560415
123,33510647
124,10974126
125,21417742
126,11641383
127,31792265
128,23284618
129,31914607
130,2518159
131,11541767
132,25328888
133,30793021
134,28611223
135,33138865
136,31824550
137,23537452
138,28615629
139,33931957
140,22438896
141,32296408
142,10997207
143,26448904
144,32101357
145,26979666
146,30999563
147,28411950
148,30065666
149,29845109
150,7892210
151,29349297
152,31554863
153,24735484
154,32836514
155,19745185
156,28377577
157,19299573
158,31331434
159,25259838
160,18473167
161,31069253
162,11541888
163,16297993
164,23675497
165,2510297
166,32287491
167,28135286
168,21345087
169,19538548
170,21970704
171,10797121
172,33288754
173,18704384
174,25541589
175,32983034
176,11007601
177,29699219
178,21836052
179,31730844
180,11541769
181,24675720
182,30242816
183,21445032
184,10634887
185,11299273
186,16399874
187,11785538
188,9609801
189,32905527
190,33564645
191,22216215
192,25143705
193,28725708
194,33102694
195,33077727
196,11457795
197,17950775
198,21479267
199,28401943
200,20332636
201,11542733
202,14581515
203,23481263
204,19876846
205,9760321
206,18697936
207,12794097
208,11053320
209,21253209
210,9390956
211,10233123
212,16593279
213,5659365
214,439154
215,11226205
216,16591184
217,24867145
218,16656768
219,35582681
220,35328492
221,35177635
222,32749090
223,31848830
224,31804539
225,28725735
226,27066149
227,26945892
228,19779153
229,16029389
230,11543422
231,10904069
232,31816115
233,26846555
234,30129781
235,27266206
236,27035921
237,26038088
238,25160844
239,23983621
240,32566675
241,31285704
242,16661229
243,33619250
244,25389428
245,20160129
246,35392403
247,35383182
248,34512577
249,32198676
250,31748575
251,28401467
252,27142480
253,25457968
254,23919749
255,18385949
256,15258130
257,15075309
258,11090596
259,9451642
260,36105282
261,36613598
262,35222056
263,33540536
264,29133864
265,12882990
266,11356795
267,9804560
268,29924745
269,33558517
270,34301942
271,34287235
272,20298479
273,28500304
274,26869710
275,12562674
276,11705789
277,1761729
278,33268672
279,30443046
280,29807538
281,19847423
282,27526089
283,35940690
284,35879284
285,25370192
286,33668919
287,29722618
288,16656349
289,35286642
290,22058585
291,34524692
292,34025451
293,31096581
294,29768035
295,27680492
296,27581365
297,27516535
298,26099126
299,23336135
300,12391087
301,34115344
302,34497497
303,31824526
304,30971938
305,27546500
306,17872403
307,15758523
308,11299388
309,31624117
310,31602007
311,31584963
312,19707597
313,18558383
314,16512669
315,15173626
316,14529583
317,12228051
318,18687897
319,36639420
320,36591304
321,29336212
322,26893033
323,11773338
324,32982803
325,24400069
326,31728406
327,25120754
328,35464913
329,27130692
330,32045996
331,34995226
332,34585034
333,36085153
334,34778261
335,31719640
336,29588453
337,29145128
338,27634181
339,24903274
340,11540339
341,36212831
342,35082348
343,34294729
344,34222218
345,28373722
346,15187188
347,35743828
348,31174308
349,34631676
350,34267213
351,32566742
352,36690655
353,29855508
354,31360738
355,31867033
356,35829995
357,32451389
358,27645475
359,30583489
360,23678438
361,20589403
362,12721527
363,34362919
364,34803615
365,33242407
366,28529022
367,23000608
368,18276897
369,10956349
370,9887117
371,35069255
372,32213744
373,34063955
374,31243304
375,27670941
376,22042268
377,18558384
378,36450785
379,35662260
380,34750383
381,33927212
382,33815472
383,33376968
384,32973543
385,30545079
386,29286463
387,29147680
388,24812642
389,19541737
390,18218919
391,15774538
392,35629329
393,10781267
394,10523277
395,33270151
396,34975356
397,28649627
398,36313746
399,33027908
400,32070055
401,31799378
402,29286875
403,28214845
404,22566481
405,21775437
406,15718403
407,15234956
408,9475878
409,31357539
410,4451377
411,30975860
412,33467082
413,31359205
414,30817172
415,28649625
416,22670691
417,16831295
418,15778286
419,10658017
420,35602950
421,15796791
422,36084640
423,29156538
424,26826674
425,24904521
426,15760948
427,34940129
428,34075058
429,34007284
430,31916941
431,29387633
432,28339035
433,26686902
434,26414276
435,24597549
436,18703761
437,16489404
438,11799255
439,11799251
440,11541894
441,23553962
442,36658138
443,29991811
444,34979409
445,25119442
446,12150716
447,28393904
448,26768626
449,25227892
450,17082368
451,1303744
452,9451613
453,35994053
454,31929726
455,26795156
456,20052306
457,19320838
458,11541895
459,7669890
460,35711756
461,34900014
462,33536932
463,30017544
464,26403291
465,25276790
466,25210716
467,24278480
468,20140225
469,32033410
470,28317013
471,20459266
472,19626124
473,15142842
474,12070200
475,11960943
476,10843883
477,9292467
478,9134911
479,36677176
480,29745800
481,33173035
482,15673296
483,26387549
484,35734453
485,35606933
486,34067415
487,32825268
488,31772208
489,26083473
490,24324574
491,22073176
492,15961614
493,11119741
494,11861624
495,24870702
496,34608429
497,35087683
498,34440709
499,32716109
500,32382569
501,31333494
502,31036903
503,30687129
504,25945103
505,25654110
506,16759155
507,16454357
508,19081771
509,14732875
510,12391089
511,12101351
512,32143440
513,31712608
514,31624287
515,30588486
516,29422872
517,28642576
518,26468641
519,9688751
520,33255352
521,32971944
522,29207065
523,28649636
524,27710941
525,26030441
526,22470446
527,20186286
528,25667933
529,31900461
530,30687585
531,35629774
532,34833068
533,33669943
534,32154251
535,28649626
536,26029071
537,22298835
538,19701592
539,19377820
540,18558382
541,15690977
542,10749838
543,33659879
544,36309540
545,35087415
546,35054818
547,32455731
548,29760957
549,27507239
550,25102863
551,24015201
552,23977138
553,23472115
554,20667080
555,11799256
556,11541309
557,36578411
558,31417174
559,27445861
560,19244579
561,14764437
562,34230490
563,33986919
564,30977987
565,30061667
566,28087888
567,25520779
568,19390002
569,18957108
570,35008489
571,36672205
572,31114504
573,36567248
574,28725713
575,36157710
576,11542472
577,16349890
578,34756233
579,33806917
580,32154223
581,19533253
582,21319014
583,33902391
584,35955775
585,35874841
586,35252204
587,34642917
588,33454290
589,31123701
590,24688295
591,23755162
592,20482631
593,12968680
594,12877771
595,35787634
596,34866600
597,33371243
598,32269617
599,32197304
600,31261642
601,30279524
602,23849595
603,25408865
604,18288361
605,9475870
606,36431000
607,35271667
608,34685414
609,34021163
610,33633331
611,30250055
612,29393447
613,25317938
614,25110709
