"","pmid","DOI","Title","First.Author","Publication.Year","Journal.Book","PMCID","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_coi_pred","coi_text","is_fund_pred","fund_text","is_register_pred","register_text"
"1",31396092,"10.3389/fphys.2019.00864","Re-examination of 1- vs. 3-Sets of Resistance Exercise for Pre-spaceflight Muscle Conditioning: A Systematic Review and Meta-Analysis","Ralston GW",2019,"Front Physiol","PMC6668575",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest Statement PJ is employed by KBR. The remaining authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"European Space Agency10.13039/501100000844",FALSE,""
"2",21611118,"10.1371/journal.pone.0019775","Differential regulation and recovery of intracellular Ca2+ in cerebral and small mesenteric arterial smooth muscle cells of simulated microgravity rat","Xue JH",2011,"PLoS One","PMC3097196",FALSE,"",FALSE,"","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,"Funding:  This work was supported by National Natural Science Foundation of China (No. 30800545, 30900283 and 31070768). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",FALSE,""
"3",35791019,"10.1186/s40168-022-01279-y","Metabolic modeling of the International Space Station microbiome reveals key microbial interactions","Kumar RK",2022,"Microbiome","PMC9258157",TRUE,"data availability statement",FALSE,"availability of data and materials the metagenomic sequence data used in this study can be found under ncbi short read archive (sra) under the bio-project number prjna438545","",TRUE,"Declarations Ethics approval and consent to participateNo human subjects were analyzed and only environmental samples were collected. Consent for publicationAll authors participated in this study and given their consent for publishing the results. Competing interestsThe authors declare that they have no competing interests. Competing interests The authors declare that they have no competing interests.",TRUE,"Funding This research was funded by a 2012 Space Biology NNH12ZTT001N grant nos. 19-12829-26 under Task Order NNN13D111T award to KV, which also funded post-doctoral fellowship for NKS and CWP. KR acknowledges support from the Science and Engineering Board (SERB) MATRICS Grant MTR/2020/000490, IIT Madras, Centre for Integrative Biology and Systems mEdicine (IBSE) and Robert Bosch Center for Data Science and Artificial Intelligence (RBCDSAI).",FALSE,""
"4",29286875,"10.1080/15592324.2017.1422468","Growth and cortical microtubule dynamics in shoot organs under microgravity and hypergravity conditions","Soga K",2018,"Plant Signal Behav","PMC5790418",NA,NA,NA,NA,NA,TRUE,"Disclosure of potential conflicts of interest No potential conflicts of interest were disclosed.",FALSE,"",FALSE,""
"5",30577490,"10.3390/ijms20010007","Proteomic Analysis of Mouse Brain Subjected to Spaceflight","Mao XW",2018,"Int J Mol Sci","PMC6337482",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest. The funders had no role in the design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript, and in the decision to publish the results.",TRUE,"Funding This study was supported by NASA managed cooperative agreement NNX10AJ31G, NASA Grant NNX13AN34G, and the LLUMC Departments of Biomedical Engineering Sciences and Radiation Medicine. ",FALSE,""
"6",31416128,"10.3390/ijms20163947","BMAL1 Disrupted Intrinsic Diurnal Oscillation in Rat Cerebrovascular Contractility of Simulated Microgravity Rats by Altering Circadian Regulation of miR-103/Ca(V)1.2 Signal Pathway","Chen L",2019,"Int J Mol Sci","PMC6720455",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest.",TRUE,"Funding This work was funded by the National Natural Science Foundation of China, grant number: 81772013 and 31270904.",FALSE,""
"7",11537568,"10.1016/0094-5765(92)90203-u","Toxicological implications of extended space flights","Weiss B",1992,"Acta Astronaut","PMC7133242",FALSE,"",FALSE,"","",FALSE,"",FALSE,"",FALSE,""
"8",25119442,"10.1007/s00411-014-0560-7","NUNDO: a numerical model of a human torso phantom and its application to effective dose equivalent calculations for astronauts at the ISS","Puchalska M",2014,"Radiat Environ Biophys","PMC4206298",FALSE,"",FALSE,"","",TRUE,"Conflict of interest The authors report no conflicts of interest. The authors alone are responsible for the content and writing of the paper.",TRUE,"This work was partly funded by the European Commission in the frame of the FP7 HAMLET project (Project #218817). The first author wishes to express gratitude to Dr. José M Gómez-Ros (CIEMAT, Madrid, Spain) for his support during the NUNDO model development.",FALSE,""
"9",23936065,"10.1371/journal.pone.0069647","Modulation of Pleurodeles waltl DNA polymerase mu expression by extreme conditions encountered during spaceflight","Schenten V",2013,"PLoS One","PMC3729694",TRUE,"field-specific repository",FALSE,"the sequence of the full-length cdna has been submitted to the embl database (accession number he583591).","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,"This work was supported by the French National Space Agency (CNES) (www.cnes.fr), the National Research Agency (grant ANR NT09-632666)(www.agence-nationale-recherche.fr), the French Ministry of Higher Education and Research (www.enseignementsup-recherche.gouv.fr), the Lorraine University (www.univ-lorraine.fr/), the Lorraine area (www.lorraine.eu/) and BELSPO/PRODEX/ESA (contract 42-000-90-380) (www.belspo.be). N.G. was supported by a PhD fellowship from the National Research Fund of Luxembourg (www.fnr.lu) and V.S. by a CNES post-doctoral fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",FALSE,""
"10",23181225,"10.4103/1947-2714.103313","Human Factor Studies on a Mars Analogue During Crew 100b International Lunar Exploration Working Group EuroMoonMars Crew: Proposed New Approaches for Future Human Space and Interplanetary Missions","Rai B",2012,"N Am J Med Sci","PMC3503372",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest: None declared.",TRUE,"Source of Support:  Nil.",FALSE,""
