pmid,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36660363,Mitigation and use of biofilms in space for the benefit of human space exploration,"Vélez Justiniano YA, Goeres DM, Sandvik EL, Kjellerup BV, Sysoeva TA, Harris JS, Warnat S, McGlennen M, Foreman CM, Yang J, Li W, Cassilly CD, Lott K, HerrNeckar LE.",Biofilm. 2023 Jan 6;5:100102. doi: 10.1016/j.bioflm.2022.100102. eCollection 2023 Dec.,Vélez Justiniano YA,Biofilm,2023,1/20/23,PMC9843197,,10.1016/j.bioflm.2022.100102
36598195,Genome Sequences of Three Common Bacterial Isolates from Wastewater from the Water Processor Assembly at the International Space Station,"Velez Justiniano YA, Lim CH, Dunlap DS, Sysoeva TA.",Microbiol Resour Announc. 2023 Jan 24;12(1):e0118922. doi: 10.1128/mra.01189-22. Epub 2023 Jan 4.,Velez Justiniano YA,Microbiol Resour Announc,2023,1/4/23,PMC9872598,,10.1128/mra.01189-22
36690655,Simulated microgravity reduces quality of ovarian follicles and oocytes by disrupting communications of follicle cells,"Cheng K, Feng X, Yang C, Ma C, Niu S, Jia L, Yang X, Liang J, Bo Y, Geng K, Li Q, Zhang H, Lei X, Zhang Y.",NPJ Microgravity. 2023 Jan 23;9(1):7. doi: 10.1038/s41526-023-00248-5.,Cheng K,NPJ Microgravity,2023,1/23/23,PMC9870914,,10.1038/s41526-023-00248-5
36658138,Transcriptomic response of bioengineered human cartilage to parabolic flight microgravity is sex-dependent,"Aissiou AK, Jha S, Dhunnoo K, Ma Z, Li DX, Ravin R, Kunze M, Wong K, Adesida AB.",NPJ Microgravity. 2023 Jan 19;9(1):5. doi: 10.1038/s41526-023-00255-6.,Aissiou AK,NPJ Microgravity,2023,1/19/23,PMC9852254,,10.1038/s41526-023-00255-6
36658133,Time perception in astronauts on board the International Space Station,"Navarro Morales DC, Kuldavletova O, Quarck G, Denise P, Clément G.",NPJ Microgravity. 2023 Jan 19;9(1):6. doi: 10.1038/s41526-023-00250-x.,Navarro Morales DC,NPJ Microgravity,2023,1/19/23,PMC9852442,,10.1038/s41526-023-00250-x
36675236,Simulated Microgravity Disrupts Nuclear Factor κB Signaling and Impairs Murine Dendritic Cell Phenotype and Function,"Calcagno G, Jeandel J, Frippiat JP, Kaminski S.",Int J Mol Sci. 2023 Jan 15;24(2):1720. doi: 10.3390/ijms24021720.,Calcagno G,Int J Mol Sci,2023,1/21/23,PMC9865583,,10.3390/ijms24021720
36639420,Prolonged microgravity induces reversible and persistent changes on human cerebral connectivity,"Jillings S, Pechenkova E, Tomilovskaya E, Rukavishnikov I, Jeurissen B, Van Ombergen A, Nosikova I, Rumshiskaya A, Litvinova L, Annen J, De Laet C, Schoenmaekers C, Sijbers J, Petrovichev V, Sunaert S, Parizel PM, Sinitsyn V, Eulenburg PZ, Laureys S, Demertzi A, Wuyts FL.",Commun Biol. 2023 Jan 13;6(1):46. doi: 10.1038/s42003-022-04382-w.,Jillings S,Commun Biol,2023,1/13/23,PMC9839680,,10.1038/s42003-022-04382-w
36672205,Transcriptomic Signature of the Simulated Microgravity Response in Caenorhabditis elegans and Comparison to Spaceflight Experiments,"Çelen İ, Jayasinghe A, Doh JH, Sabanayagam CR.",Cells. 2023 Jan 10;12(2):270. doi: 10.3390/cells12020270.,Çelen İ,Cells,2023,1/21/23,PMC9856674,,10.3390/cells12020270
36648834,Formulation of a Simulated Wastewater Influent Composition for Use in the Research of Technologies for Managing Wastewaters Generated during Manned Long-Term Space Exploration and Other Similar Situations-Literature-Based Composition Development,"Shrestha B, Hernandez R, Fortela DLB, Sharp W, Chistoserdov A, Gang D, Revellame E, Holmes WE, Zappi ME.",BioTech (Basel). 2023 Jan 10;12(1):8. doi: 10.3390/biotech12010008.,Shrestha B,BioTech (Basel),2023,1/17/23,PMC9844444,,10.3390/biotech12010008
36674696,Long-Term Simulation of Microgravity Induces Changes in Gene Expression in Breast Cancer Cells,"Sahana J, Cortés-Sánchez JL, Sandt V, Melnik D, Corydon TJ, Schulz H, Cai Z, Evert K, Grimm D, Wehland M.",Int J Mol Sci. 2023 Jan 7;24(2):1181. doi: 10.3390/ijms24021181.,Sahana J,Int J Mol Sci,2023,1/21/23,PMC9864731,,10.3390/ijms24021181
36672184,"The Effects of Combined Exposure to Simulated Microgravity, Ionizing Radiation, and Cortisol on the In Vitro Wound Healing Process","Radstake WE, Gautam K, Miranda S, Vermeesen R, Tabury K, Rehnberg E, Buset J, Janssen A, Leysen L, Neefs M, Verslegers M, Claesen J, van Goethem MJ, Weber U, Fournier C, Parisi A, Brandenburg S, Durante M, Baselet B, Baatout S.",Cells. 2023 Jan 7;12(2):246. doi: 10.3390/cells12020246.,Radstake WE,Cells,2023,1/21/23,PMC9857207,,10.3390/cells12020246
36512344,Protection of primary cilia is an effective countermeasure against the impairment of osteoblast function induced by simulated microgravity,"Liu J, Leng FF, Gao YH, He WF, Wang JF, Xian CJ, Ma HP, Chen KM.",J Cell Mol Med. 2023 Jan;27(1):36-51. doi: 10.1111/jcmm.17628. Epub 2022 Dec 13.,Liu J,J Cell Mol Med,2023,12/13/22,PMC9806295,,10.1111/jcmm.17628
36677176,Lab-on-a-Chip Technologies for Microgravity Simulation and Space Applications,"Vashi A, Sreejith KR, Nguyen NT.",Micromachines (Basel). 2022 Dec 31;14(1):116. doi: 10.3390/mi14010116.,Vashi A,Micromachines (Basel),2022,1/21/23,PMC9864955,,10.3390/mi14010116
36675851,Description and Genome Characterization of Three Novel Fungal Strains Isolated from Mars 2020 Mission-Associated Spacecraft Assembly Facility Surfaces-Recommendations for Two New Genera and One Species,"Chander AM, Teixeira MM, Singh NK, Williams MP, Simpson AC, Damle N, Parker CW, Stajich JE, Mason CE, Torok T, Venkateswaran K.",J Fungi (Basel). 2022 Dec 23;9(1):31. doi: 10.3390/jof9010031.,Chander AM,J Fungi (Basel),2022,1/21/23,PMC9864340,,10.3390/jof9010031
36613598,Simulated Microgravity Influences Immunity-Related Biomarkers in Lung Cancer,"Baghoum H, Alahmed H, Hachim M, Senok A, Jalaleddine N, Al Heialy S.",Int J Mol Sci. 2022 Dec 21;24(1):155. doi: 10.3390/ijms24010155.,Baghoum H,Int J Mol Sci,2022,1/8/23,PMC9820811,,10.3390/ijms24010155
36556504,Are Skeletal Muscle Changes during Prolonged Space Flights Similar to Those Experienced by Frail and Sarcopenic Older Adults?,"Cannavo A, Carandina A, Corbi G, Tobaldini E, Montano N, Arosio B.",Life (Basel). 2022 Dec 19;12(12):2139. doi: 10.3390/life12122139.,Cannavo A,Life (Basel),2022,12/23/22,PMC9781047,,10.3390/life12122139
36555738,Prolonged Exposure to Simulated Microgravity Changes Release of Small Extracellular Vesicle in Breast Cancer Cells,"Wise PM, Sahana J, Neviani P, Corydon TJ, Schulz H, Wehland M, Infanger M, Grimm D.",Int J Mol Sci. 2022 Dec 17;23(24):16095. doi: 10.3390/ijms232416095.,Wise PM,Int J Mol Sci,2022,12/23/22,PMC9781806,,10.3390/ijms232416095
36591304,Detrimental effects of simulated microgravity on mast cell homeostasis and function,"Kim M, Jang G, Kim KS, Shin J.",Front Immunol. 2022 Dec 16;13:1055531. doi: 10.3389/fimmu.2022.1055531. eCollection 2022.,Kim M,Front Immunol,2022,1/2/23,PMC9800517,,10.3389/fimmu.2022.1055531
36527040,Temperature and particulate matter as environmental factors associated with seasonality of influenza incidence - an approach using Earth observation-based modeling in a health insurance cohort study from Baden-Württemberg (Germany),"Rittweger J, Gilardi L, Baltruweit M, Dally S, Erbertseder T, Mittag U, Naeem M, Schmid M, Schmitz MT, Wüst S, Dech S, Jordan J, Antoni T, Bittner M.",Environ Health. 2022 Dec 16;21(1):131. doi: 10.1186/s12940-022-00927-y.,Rittweger J,Environ Health,2022,12/16/22,PMC9755806,,10.1186/s12940-022-00927-y
36578411,Impact of simulated microgravity on bioremoval of heavy-metals by Lactobacillus acidophilus ATCC 4356 from water,"Afsharian Z, Salavatifar M, Khosravi Darani K.",Heliyon. 2022 Dec 14;8(12):e12307. doi: 10.1016/j.heliyon.2022.e12307. eCollection 2022 Dec.,Afsharian Z,Heliyon,2022,12/29/22,PMC9791880,,10.1016/j.heliyon.2022.e12307
36582360,Are head-down tilt bedrest studies capturing the true nature of spaceflight-induced cognitive changes? A review,"Barkaszi I, Ehmann B, Tölgyesi B, Balázs L, Altbäcker A.",Front Physiol. 2022 Dec 13;13:1008508. doi: 10.3389/fphys.2022.1008508. eCollection 2022.,Barkaszi I,Front Physiol,2022,12/30/22,PMC9792854,,10.3389/fphys.2022.1008508
36503581,Multidrug-resistant Acinetobacter pittii is adapting to and exhibiting potential succession aboard the International Space Station,"Tierney BT, Singh NK, Simpson AC, Hujer AM, Bonomo RA, Mason CE, Venkateswaran K.",Microbiome. 2022 Dec 12;10(1):210. doi: 10.1186/s40168-022-01358-0.,Tierney BT,Microbiome,2022,12/12/22,PMC9743659,,10.1186/s40168-022-01358-0
36569765,Biobehavioral and psychosocial stress changes during three 8-12 month spaceflight analog missions with Mars-like conditions of isolation and confinement,"Dunn Rosenberg J, Jannasch A, Binsted K, Landry S.",Front Physiol. 2022 Dec 7;13:898841. doi: 10.3389/fphys.2022.898841. eCollection 2022.,Dunn Rosenberg J,Front Physiol,2022,12/26/22,PMC9768546,,10.3389/fphys.2022.898841
36501720,Material Extrusion of Helical Shape Memory Polymer Artificial Muscles for Human Space Exploration Apparatus,"Mitchell K, Raymond L, Wood J, Su J, Zhang J, Jin Y.",Polymers (Basel). 2022 Dec 6;14(23):5325. doi: 10.3390/polym14235325.,Mitchell K,Polymers (Basel),2022,12/11/22,PMC9738167,,10.3390/polym14235325
36473944,Microgravity environment grown crystal structure information based engineering of direct electron transfer type glucose dehydrogenase,"Okuda-Shimazaki J, Yoshida H, Lee I, Kojima K, Suzuki N, Tsugawa W, Yamada M, Inaka K, Tanaka H, Sode K.",Commun Biol. 2022 Dec 6;5(1):1334. doi: 10.1038/s42003-022-04286-9.,Okuda-Shimazaki J,Commun Biol,2022,12/6/22,PMC9727119,,10.1038/s42003-022-04286-9
